Disease,Gene,Phenotype,Drug,Recommendation,AlternativeDrug,Reason,EvidenceLevel
Autism Spectrum Disorder,CYP2D6,Normal Metabolizer,Risperidone,Standard Dose,,Normal metabolism,Moderate
Autism Spectrum Disorder,CYP2D6,Intermediate Metabolizer,Risperidone,Reduce Dose,Aripiprazole,Reduced metabolism,Moderate
Autism Spectrum Disorder,CYP2D6,Poor Metabolizer,Risperidone,Avoid,Aripiprazole,High plasma concentration risk,High
Migraine,CYP2D6,Normal Metabolizer,Amitriptyline,Standard Dose,,Normal metabolism,Moderate
Migraine,CYP2D6,Intermediate Metabolizer,Amitriptyline,Reduce Dose,Topiramate,Reduced metabolism,Moderate
Migraine,CYP2D6,Poor Metabolizer,Amitriptyline,Avoid,Topiramate,Drug accumulation risk,High
Neuropathic Pain,CYP2D6,Normal Metabolizer,Tramadol,Standard Dose,,Normal conversion to active metabolite,High
Neuropathic Pain,CYP2D6,Intermediate Metabolizer,Tramadol,Increase Monitoring,Morphine,Reduced analgesic response,High
Neuropathic Pain,CYP2D6,Poor Metabolizer,Tramadol,Avoid,Morphine,Insufficient analgesic effect,High
Neuropathic Pain,OPRM1,Normal Response,Morphine,Standard Dose,,Expected opioid response,Moderate
Neuropathic Pain,Intermediate Response,Morphine,Increase Monitoring,Pregabalin,Reduced opioid sensitivity,Moderate,
Neuropathic Pain,Poor Response,Morphine,Consider Alternative,Pregabalin,Poor opioid response,Moderate,
Insomnia,CYP2C19,Normal Metabolizer,Diazepam,Standard Dose,,Normal metabolism,Moderate
Insomnia,CYP2C19,Intermediate Metabolizer,Diazepam,Reduce Dose,Lorazepam,Reduced metabolism,Moderate
Insomnia,CYP2C19,Poor Metabolizer,Diazepam,Avoid,Lorazepam,Drug accumulation risk,High
Insomnia,GABRA1,Normal Response,Lorazepam,Standard Dose,,Expected GABA receptor response,Moderate
Insomnia,GABRA1,Reduced Response,Lorazepam,Increase Monitoring,Diazepam,Reduced receptor response,Moderate
Multiple Sclerosis,HLA-DRB1,High Risk,Interferon beta,Use With Monitoring,Glatiramer Acetate,Increased autoimmune susceptibility,Moderate
Multiple Sclerosis,HLA-DRB1,Low Risk,Interferon beta,Standard Dose,,Expected treatment response,Moderate
Huntington's Disease,CYP2D6,Normal Metabolizer,Tetrabenazine,Standard Dose,,Normal metabolism,Moderate
Huntington's Disease,CYP2D6,Intermediate Metabolizer,Tetrabenazine,Reduce Dose,Deutetrabenazine,Reduced metabolism,Moderate
Huntington's Disease,CYP2D6,Poor Metabolizer,Tetrabenazine,Avoid,Deutetrabenazine,High plasma concentration risk,High
Amyotrophic Lateral Sclerosis,SOD1,Normal Response,Riluzole,Standard Dose,,Expected therapeutic response,Moderate
Amyotrophic Lateral Sclerosis,SOD1,High Risk,Riluzole,Increase Monitoring,Edaravone,Genetic risk for rapid progression,Moderate
Essential Tremor,CYP2D6,Normal Metabolizer,Propranolol,Standard Dose,,Normal metabolism,Moderate
Essential Tremor,CYP2D6,Intermediate Metabolizer,Propranolol,Reduce Dose,Primidone,Reduced metabolism,Moderate
Essential Tremor,CYP2D6,Poor Metabolizer,Propranolol,Avoid,Primidone,Drug accumulation risk,High
Lewy Body Dementia,APOE,Low Risk,Donepezil,Standard Dose,,Expected treatment response,Moderate
Lewy Body Dementia,APOE,Average Risk,Donepezil,Standard Dose,,Standard treatment response,Moderate
Lewy Body Dementia,APOE,High Risk,Donepezil,Use With Monitoring,Memantine,Increased disease progression risk,Moderate
Frontotemporal Dementia,MAPT,Normal Response,Donepezil,Standard Dose,,Expected treatment response,Moderate
Frontotemporal Dementia,MAPT,High Risk,Donepezil,Increase Monitoring,Memantine,Tau pathology associated with disease progression,Moderate
